"k","alpha","omega","stabilite"
2,0,0,0.75296649059065
3,0,0,0.93830305789905
4,0,0,0.832006583001164
5,0,0,0.853030819339373
6,0,0,0.862440983710232
2,0.05,0,0.719720089954995
3,0.05,0,0.941704269657168
4,0.05,0,0.85153975887059
5,0.05,0,0.856633126571342
6,0.05,0,0.874356925590718
2,0.1,0,0.699174055176788
3,0.1,0,0.94497457192357
4,0.1,0,0.856141209134115
5,0.1,0,0.85400655876706
6,0.1,0,0.867162879091867
2,0.15,0,0.714054640295013
3,0.15,0,0.934109055804049
4,0.15,0,0.860159353495494
5,0.15,0,0.837631635879444
6,0.15,0,0.865447373849156
2,0.2,0,0.793243004232451
3,0.2,0,0.944717835725531
4,0.2,0,0.855447358195411
5,0.2,0,0.849021619838979
6,0.2,0,0.868534041446688
2,0.25,0,0.733121719282901
3,0.25,0,0.95503212816701
4,0.25,0,0.848676391104626
5,0.25,0,0.842036527172173
6,0.25,0,0.870165224069144
2,0.3,0,0.79282242848932
3,0.3,0,0.945136268117288
4,0.3,0,0.862653074235777
5,0.3,0,0.844116789964732
6,0.3,0,0.87800245961405
2,0.35,0,0.720025479835386
3,0.35,0,0.951006519317859
4,0.35,0,0.830733940015076
5,0.35,0,0.844367118268505
6,0.35,0,0.88214717036146
2,0.4,0,0.81971796116619
3,0.4,0,0.946713102042113
4,0.4,0,0.84326630337973
5,0.4,0,0.851703795716918
6,0.4,0,0.88992493264047
2,0.45,0,0.659664930183773
3,0.45,0,0.948925889888267
4,0.45,0,0.853521666947577
5,0.45,0,0.847415667946113
6,0.45,0,0.872046920290658
2,0.5,0,0.793236286353191
3,0.5,0,0.941300725957799
4,0.5,0,0.851952238537848
5,0.5,0,0.838498150844391
6,0.5,0,0.877038809595112
2,0.55,0,0.67986043501338
3,0.55,0,0.94547282512057
4,0.55,0,0.845467700884206
5,0.55,0,0.859887179677299
6,0.55,0,0.880392561069269
2,0.6,0,0.752773422530916
3,0.6,0,0.93170438268639
4,0.6,0,0.837191917520552
5,0.6,0,0.857955158286449
6,0.6,0,0.866810365462614
2,0.65,0,0.746380434968166
3,0.65,0,0.941712301205458
4,0.65,0,0.845918892858504
5,0.65,0,0.84810255425199
6,0.65,0,0.874721283319172
2,0.7,0,0.74475185807144
3,0.7,0,0.94202833487046
4,0.7,0,0.850043874353608
5,0.7,0,0.835502254934374
6,0.7,0,0.87848854390005
2,0.75,0,0.746339691954564
3,0.75,0,0.940920636098191
4,0.75,0,0.865251564226711
5,0.75,0,0.852905785670565
6,0.75,0,0.87502948553488
2,0.8,0,0.752097905575132
3,0.8,0,0.93009331800779
4,0.8,0,0.862012577922619
5,0.8,0,0.84140052487383
6,0.8,0,0.885023456405791
2,0.85,0,0.773642221439556
3,0.85,0,0.935783912684556
4,0.85,0,0.837358438165397
5,0.85,0,0.861333699007561
6,0.85,0,0.879373996664325
2,0.9,0,0.692853289805556
3,0.9,0,0.947316987581916
4,0.9,0,0.863416686101293
5,0.9,0,0.84204186604243
6,0.9,0,0.893437978590368
2,0.95,0,0.752613925476713
