"k","alpha","omega","stabilite"
2,0,0,0.959964448101778
3,0,0,0.855235304647596
4,0,0,0.863845921587623
5,0,0,0.737513454012602
6,0,0,0.713341958372698
2,0.05,0,0.964726816915304
3,0.05,0,0.84506309072689
4,0.05,0,0.860316009598734
5,0.05,0,0.754969894965114
6,0.05,0,0.719352381576802
2,0.1,0,0.946105990004492
3,0.1,0,0.867493802719526
4,0.1,0,0.867544081743024
5,0.1,0,0.750828242509594
6,0.1,0,0.742545054375433
2,0.15,0,0.965763477064405
3,0.15,0,0.848795178609449
4,0.15,0,0.861637348953599
5,0.15,0,0.73948478746547
6,0.15,0,0.71685784825078
2,0.2,0,0.949772812943928
3,0.2,0,0.848562410356114
4,0.2,0,0.872138931875294
5,0.2,0,0.764341974316022
6,0.2,0,0.756862929324312
2,0.25,0,0.949768421974124
3,0.25,0,0.85858434404021
4,0.25,0,0.868680283989861
5,0.25,0,0.75039357950615
6,0.25,0,0.741688699566366
2,0.3,0,0.973310273884916
3,0.3,0,0.851631693440125
4,0.3,0,0.853807154597303
5,0.3,0,0.744817593241033
6,0.3,0,0.729842800607374
2,0.35,0,0.951387415391807
3,0.35,0,0.86146611065317
4,0.35,0,0.854118110572172
5,0.35,0,0.742548115951731
6,0.35,0,0.735697932652629
2,0.4,0,0.957102659148681
3,0.4,0,0.85019402830398
4,0.4,0,0.853446787938785
5,0.4,0,0.751518300325053
6,0.4,0,0.729284457236511
2,0.45,0,0.961874013462139
3,0.45,0,0.846942833256888
4,0.45,0,0.854532712378092
5,0.45,0,0.739544628558433
6,0.45,0,0.724556859494112
2,0.5,0,0.957109066985668
3,0.5,0,0.845989992938668
4,0.5,0,0.871829740819903
5,0.5,0,0.733431761823716
6,0.5,0,0.714326955966437
2,0.55,0,0.966635759464669
3,0.55,0,0.854237558986958
4,0.55,0,0.869088232844067
5,0.55,0,0.750404005754643
6,0.55,0,0.715642100131155
2,0.6,0,0.954245357748207
3,0.6,0,0.865211778670442
4,0.6,0,0.867197359403233
5,0.6,0,0.754805505546613
6,0.6,0,0.731778556444507
2,0.65,0,0.953293778555951
3,0.65,0,0.852594128013245
4,0.65,0,0.872857647190613
5,0.65,0,0.743557017140363
6,0.65,0,0.736847669529363
2,0.7,0,0.955200780092607
3,0.7,0,0.841484141834962
4,0.7,0,0.844824215700796
5,0.7,0,0.753767997460045
6,0.7,0,0.727433928778644
2,0.75,0,0.955419781144441
3,0.75,0,0.853502471477965
4,0.75,0,0.875265372269076
5,0.75,0,0.764092703285057
6,0.75,0,0.717851369869974
2,0.8,0,0.959086368696113
3,0.8,0,0.829392982091534
4,0.8,0,0.882070223924202
5,0.8,0,0.767175319968653
6,0.8,0,0.740465859354979
2,0.85,0,0.964735801554098
3,0.85,0,0.827103478413453
4,0.85,0,0.878573649692853
5,0.85,0,0.743629417540918
6,0.85,0,0.743413228776009
2,0.9,0,0.949479130221021
3,0.9,0,0.857426473153896
4,0.9,0,0.857175547752609
5,0.9,0,0.766727981808205
6,0.9,0,0.714365915302161
2,0.95,0,0.963035016108187
3,0.95,0,0.849966216878436
4,0.95,0,0.871709314436301
5,0.95,0,0.757105750862895
6,0.95,0,0.707653435474315
2,1,0,0.952341559268907
3,1,0,0.85551599809366
4,1,0,0.844570587558397
5,1,0,0.748243377999704
6,1,0,0.729533765831828
2,0,0.05,0.947795258492976
3,0,0.05,0.875340543702346
4,0,0.05,0.898550649379321
5,0,0.05,0.760653785023679
6,0,0.05,0.675603792790696
2,0.05,0.05,0.95630132167117
3,0.05,0.05,0.898495218858032
4,0.05,0.05,0.884782325137985
5,0.05,0.05,0.756182058033598
6,0.05,0.05,0.677274558072381
2,0.1,0.05,0.950510747537053
3,0.1,0.05,0.888072708262758
4,0.1,0.05,0.874871999803114
