"k","alpha","omega","stabilite"
2,0,0,0.950168270059043
3,0,0,0.923906152874635
4,0,0,0.970960873967686
5,0,0,0.856476827845798
6,0,0,0.823736950934148
2,0.05,0,0.936909109416478
3,0.05,0,0.921392597605855
4,0.05,0,0.969700116065934
5,0.05,0,0.86248567888577
6,0.05,0,0.809012789729212
2,0.1,0,0.94468969702165
3,0.1,0,0.921078631970331
4,0.1,0,0.970524566261295
5,0.1,0,0.87614245626038
6,0.1,0,0.812351655897573
2,0.15,0,0.935715551984205
3,0.15,0,0.923748245175835
4,0.15,0,0.96696593682888
5,0.15,0,0.871928062155439
6,0.15,0,0.826885158120071
2,0.2,0,0.944225511513311
3,0.2,0,0.91902202366295
4,0.2,0,0.97151782532346
5,0.2,0,0.853860637663294
6,0.2,0,0.820793472885872
2,0.25,0,0.945869629026037
3,0.25,0,0.918122767156704
4,0.25,0,0.976283663730217
5,0.25,0,0.85040876004791
6,0.25,0,0.821561928513474
2,0.3,0,0.941207619367437
3,0.3,0,0.917508156363542
4,0.3,0,0.975760142313455
5,0.3,0,0.830131979802431
6,0.3,0,0.850549552782115
2,0.35,0,0.931441989757835
3,0.35,0,0.913270679901785
4,0.35,0,0.971032471037245
5,0.35,0,0.84128242343251
6,0.35,0,0.827127684043696
2,0.4,0,0.939744822445941
3,0.4,0,0.922201076632051
4,0.4,0,0.972540302008305
5,0.4,0,0.856264119994317
6,0.4,0,0.833738010570103
2,0.45,0,0.947604072381087
3,0.45,0,0.91976623176824
4,0.45,0,0.958781280817096
5,0.45,0,0.858873032442184
6,0.45,0,0.816786057522626
2,0.5,0,0.932637652230158
3,0.5,0,0.91542242971519
4,0.5,0,0.976635857341268
5,0.5,0,0.856882360442153
6,0.5,0,0.829629482427804
2,0.55,0,0.951487430869143
3,0.55,0,0.901836782323598
4,0.55,0,0.959081539638174
5,0.55,0,0.852547674626797
6,0.55,0,0.833427323376691
2,0.6,0,0.947368336768829
3,0.6,0,0.913322686749343
4,0.6,0,0.980884579717243
5,0.6,0,0.866007963403024
6,0.6,0,0.839722004931373
2,0.65,0,0.941409540012384
3,0.65,0,0.92740464845121
4,0.65,0,0.962058027209383
5,0.65,0,0.852195445513001
6,0.65,0,0.84605068388254
2,0.7,0,0.930031493299781
3,0.7,0,0.919757218415598
4,0.7,0,0.972560889528466
5,0.7,0,0.854178638368154
6,0.7,0,0.840347166868547
2,0.75,0,0.94497587924846
3,0.75,0,0.920378850057594
4,0.75,0,0.969766998942645
5,0.75,0,0.841920137878392
6,0.75,0,0.834536489812698
2,0.8,0,0.937478646805713
3,0.8,0,0.912408845400336
4,0.8,0,0.973359423734344
5,0.8,0,0.854793225068116
