"k","alpha","omega","stabilite"
2,0,0,0.84750567795449
3,0,0,0.947122402094103
4,0,0,0.769123404718736
5,0,0,0.715834256864192
6,0,0,0.775017161352408
2,0.05,0,0.855539452914619
3,0.05,0,0.953817295690178
4,0.05,0,0.752908365310219
5,0.05,0,0.734880755082754
6,0.05,0,0.78194161413603
2,0.1,0,0.83727453862551
3,0.1,0,0.941658210181311
4,0.1,0,0.760951638348768
5,0.1,0,0.711227208670403
6,0.1,0,0.77561236538151
2,0.15,0,0.856278901059735
3,0.15,0,0.955128069411948
4,0.15,0,0.772023679080561
5,0.15,0,0.708714304297545
6,0.15,0,0.76372053669531
2,0.2,0,0.844088188336258
3,0.2,0,0.947227924545517
4,0.2,0,0.751651173815438
5,0.2,0,0.710780805181636
6,0.2,0,0.764717275733965
2,0.25,0,0.859504320405193
3,0.25,0,0.959195809953596
4,0.25,0,0.754201865583185
5,0.25,0,0.738768729910145
6,0.25,0,0.770235551988407
2,0.3,0,0.86739403483933
3,0.3,0,0.952219224900916
4,0.3,0,0.750889445423708
5,0.3,0,0.700494689313136
6,0.3,0,0.771266775645092
2,0.35,0,0.84636995976452
3,0.35,0,0.952634066268011
4,0.35,0,0.750670275576608
5,0.35,0,0.704354347175348
6,0.35,0,0.777844631026269
2,0.4,0,0.840745032524267
3,0.4,0,0.945685889343412
4,0.4,0,0.763577348310131
5,0.4,0,0.731711837310112
6,0.4,0,0.7676640008705
2,0.45,0,0.833276995508038
3,0.45,0,0.954629971759014
4,0.45,0,0.738467470136849
5,0.45,0,0.726813600580721
6,0.45,0,0.762888056142049
2,0.5,0,0.850688116571302
3,0.5,0,0.94966215138466
4,0.5,0,0.757949511442165
5,0.5,0,0.699874682168613
6,0.5,0,0.755410621440512
2,0.55,0,0.85704429764216
3,0.55,0,0.955716333841447
4,0.55,0,0.764057383984732
5,0.55,0,0.740649093908635
6,0.55,0,0.78488796741651
2,0.6,0,0.851684378644751
3,0.6,0,0.951776004778035
4,0.6,0,0.793799581639385
5,0.6,0,0.700166124481074
6,0.6,0,0.779149813640313
2,0.65,0,0.850773371921259
3,0.65,0,0.94789249188333
4,0.65,0,0.761911425946756
5,0.65,0,0.722923971081428
6,0.65,0,0.764407395460514
2,0.7,0,0.849656141910335
3,0.7,0,0.94288862262881
4,0.7,0,0.750000713774531
5,0.7,0,0.722269976798658
6,0.7,0,0.748884193704205
2,0.75,0,0.845158767521212
3,0.75,0,0.941193710996541
4,0.75,0,0.759479421218013
5,0.75,0,0.709669482366844
6,0.75,0,0.762870314747798
2,0.8,0,0.847478418788135
3,0.8,0,0.950890408990019
4,0.8,0,0.724233715893393
5,0.8,0,0.719304570356012
6,0.8,0,0.768791143127581
2,0.85,0,0.857884776469113
3,0.85,0,0.956680839836752
4,0.85,0,0.746011275409019
5,0.85,0,0.726343574022503
6,0.85,0,0.774617923562823
2,0.9,0,0.86060350766856
3,0.9,0,0.948994359882483
4,0.9,0,0.78246643427412
5,0.9,0,0.713284200709371
6,0.9,0,0.776794591456417
2,0.95,0,0.856526613339605
3,0.95,0,0.947533217974974
4,0.95,0,0.766693307846974
5,0.95,0,0.717954665825816
6,0.95,0,0.773796187444121
2,1,0,0.861890700572194
3,1,0,0.941624125126896
4,1,0,0.77445916003835
5,1,0,0.717331254344842
6,1,0,0.770747416508424
2,0,0.05,0.881762302345894
3,0,0.05,0.857196783811657
4,0,0.05,0.68615898927968
5,0,0.05,0.773473374258248
6,0,0.05,0.825557725472331
2,0.05,0.05,0.905699510509107
3,0.05,0.05,0.882291538754402
4,0.05,0.05,0.716039947773982
5,0.05,0.05,0.773968054070526
6,0.05,0.05,0.817135097595041
2,0.1,0.05,0.879553931700948
3,0.1,0.05,0.901315228864701
4,0.1,0.05,0.606554795954623
5,0.1,0.05,0.609932589361284
6,0.1,0.05,0.757326792138257
2,0.15,0.05,0.88994045053409
3,0.15,0.05,0.895860935684346
4,0.15,0.05,0.70408947931233
5,0.15,0.05,0.594194436605649
6,0.15,0.05,0.759161665874905
2,0.2,0.05,0.885580431992373
3,0.2,0.05,0.905987471816121
4,0.2,0.05,0.615404511634705
5,0.2,0.05,0.742387167647606
6,0.2,0.05,0.76127637293978
2,0.25,0.05,0.893455542216887
3,0.25,0.05,0.912607265717327
4,0.25,0.05,0.615183774708564
5,0.25,0.05,0.722238589040109
6,0.25,0.05,0.759226748136764
2,0.3,0.05,0.907166759606158
3,0.3,0.05,0.92232767918684
4,0.3,0.05,0.652405275356282
